Gmt time,Open,High,Low,Close,Volume
2021-04-26 12:30:00+05:30,971.28,974.8,969.95,974.75,486514
2021-04-26 12:45:00+05:30,974.75,975.0,972.18,972.95,371776
2021-04-26 13:00:00+05:30,972.95,973.75,972.03,973.1,231940
2021-04-26 13:15:00+05:30,973.1,973.45,972.03,972.65,292070
2021-04-26 13:30:00+05:30,972.65,973.5,972.0,972.68,313920
2021-04-26 13:45:00+05:30,972.65,974.75,971.43,974.0,361866
2021-04-26 14:00:00+05:30,974.0,975.73,973.23,973.63,569288
2021-04-26 14:15:00+05:30,973.63,973.63,967.15,969.43,872938
2021-04-26 14:30:00+05:30,969.4,970.33,968.0,969.25,496334
2021-04-26 14:45:00+05:30,969.1,971.2,969.0,969.03,737890
2021-04-26 15:00:00+05:30,969.58,970.25,967.83,968.6,1029192
2021-04-26 15:15:00+05:30,968.6,970.5,966.3,968.93,1618950
2021-04-27 09:15:00+05:30,970.0,987.5,969.13,985.73,2749456
2021-04-27 09:30:00+05:30,986.48,989.5,983.73,985.9,1557316
2021-04-27 09:45:00+05:30,985.93,987.3,983.25,987.0,765950
2021-04-27 10:00:00+05:30,987.0,988.85,986.08,986.9,616128
2021-04-27 10:15:00+05:30,986.9,987.23,985.43,986.0,759248
2021-04-27 10:30:00+05:30,986.08,986.5,985.5,985.6,271294
2021-04-27 10:45:00+05:30,985.63,986.25,984.5,985.73,248070
2021-04-27 11:00:00+05:30,985.73,986.9,985.0,985.5,254736
2021-04-27 11:15:00+05:30,985.53,985.8,984.6,985.15,185470
2021-04-27 11:30:00+05:30,985.25,992.3,985.25,990.5,1459266
2021-04-27 11:45:00+05:30,990.4,994.5,990.4,993.9,967034
2021-04-27 12:00:00+05:30,993.93,995.0,991.13,992.0,654706
2021-04-27 12:15:00+05:30,991.93,992.68,989.28,990.23,464728
2021-04-27 12:30:00+05:30,990.23,991.93,989.5,991.38,328124
2021-04-27 12:45:00+05:30,991.38,992.0,989.53,989.78,250186
2021-04-27 13:00:00+05:30,989.78,991.6,988.98,990.75,386332
2021-04-27 13:15:00+05:30,990.75,991.75,990.0,990.45,239816
2021-04-27 13:30:00+05:30,990.45,991.4,989.8,990.0,231566
2021-04-27 13:45:00+05:30,990.0,992.28,989.98,991.0,381810
2021-04-27 14:00:00+05:30,991.25,992.45,990.98,992.0,456202
2021-04-27 14:15:00+05:30,992.0,994.75,991.5,994.73,688154
2021-04-27 14:30:00+05:30,994.75,998.6,994.03,997.0,1151528
2021-04-27 14:45:00+05:30,996.63,997.0,994.5,994.75,823632
2021-04-27 15:00:00+05:30,994.8,995.5,994.0,995.05,1076144
2021-04-27 15:15:00+05:30,995.05,995.05,993.03,994.33,1484252
2021-04-28 09:15:00+05:30,998.93,1000.0,994.38,995.98,1219562
2021-04-28 09:30:00+05:30,995.88,996.03,990.08,994.18,1160944
2021-04-28 09:45:00+05:30,994.25,994.43,992.58,994.28,457628
2021-04-28 10:00:00+05:30,994.1,1002.95,994.1,998.8,1441886
2021-04-28 10:15:00+05:30,998.83,999.15,995.5,996.8,505632
2021-04-28 10:30:00+05:30,996.98,999.73,996.5,999.35,382142
2021-04-28 10:45:00+05:30,999.38,1001.95,998.5,1001.65,531404
2021-04-28 11:00:00+05:30,1001.7,1002.48,998.88,998.88,585974
2021-04-28 11:15:00+05:30,999.23,1004.0,999.05,1003.05,1289654
2021-04-28 11:30:00+05:30,1003.25,1003.35,999.28,999.75,471112
2021-04-28 11:45:00+05:30,999.95,1000.48,998.2,1000.03,300750
2021-04-28 12:00:00+05:30,999.5,1001.35,996.15,1000.5,708306
2021-04-28 12:15:00+05:30,1000.43,1000.5,998.0,999.05,288660
